node_id,x_coord,y_coord
39076461,-73.7946273,40.7864093
39076490,-73.7570906,40.7624294
39076504,-73.7441643,40.7534671
42421728,-73.9600437,40.7980478
42421731,-73.9614745,40.7986542
42421737,-73.9628734,40.7992437
42421741,-73.9656909,40.8004295
42421745,-73.9679955,40.8013981
42421749,-73.9685741,40.8016452
42421751,-73.9700504,40.8022679
42421769,-73.9750067,40.7826383
42421772,-73.9778254,40.783828
42421775,-73.9795827,40.7845691
42421776,-73.9806732,40.7850352
42421778,-73.9820041,40.7855915
42421783,-73.9313239,40.8593291
42421785,-73.930122,40.858744
42421786,-73.927625,40.859012
42421791,-73.926786,40.859944
42421800,-73.9703125,40.7839869
42421803,-73.9731496,40.7851818
42421806,-73.9759753,40.7863627
42421809,-73.9776927,40.7870877
42421810,-73.9788225,40.7875711
42421820,-73.9810702,40.788486
42421828,-73.976212,40.725326
42421852,-73.9568234,40.8126219
42421857,-73.9598214,40.8138307
42421865,-73.9606929,40.814184
42421877,-73.9959291,40.7328569
42421889,-73.9991816,40.7341463
42421941,-74.0087998,40.704221
42421946,-74.008325,40.703813
42421951,-74.0077696,40.7033146
42421960,-74.0089696,40.7041084
42421965,-74.0079803,40.7032091
42421969,-73.9810586,40.7692956
42421972,-73.982236,40.7697925
42421974,-73.9838597,40.7704797
42421982,-73.986677,40.7716605
42421985,-73.9895402,40.7728633
42421993,-73.9679404,40.787235
42421996,-73.9707862,40.7884325
42422000,-73.9736025,40.7896131
42422006,-73.9751294,40.7902583
42422016,-73.9764487,40.7908218
42422018,-73.978619,40.7917878
42422026,-74.0158085,40.7115654
42422028,-74.0143968,40.7110102
42422038,-74.0116524,40.7096662
42422042,-74.010521,40.7091439
42422050,-74.009371,40.708614
42422053,-74.008269,40.7077219
42422086,-73.9333873,40.8016439
42422110,-73.9337706,40.8021471
42422168,-73.9328935,40.8021545
42422258,-74.00742,40.748197
42422270,-74.0027542,40.7062566
42422283,-74.001657,40.7094916
42422399,-73.9827522,40.7879993
42422449,-73.9311515,40.8007075
42422509,-73.9736517,40.7381466
42422592,-73.9826519,40.7849764
42422899,-73.9721346,40.7456709
42423020,-73.9749735,40.7460881
42423039,-73.9757407,40.7163982
42423051,-73.9748036,40.718847
42423070,-73.9853322,40.7835314
42423101,-73.9337078,40.8442415
42423116,-73.932313,40.846152
42423170,-73.9326159,40.8026802
42423189,-73.9329255,40.8033683
42423203,-73.9334099,40.802694
42423295,-73.9775923,40.7132542
42423296,-73.9777769,40.7124667
42423307,-73.9814926,40.71075
42423456,-74.006113,40.7237914
42423514,-74.007029,40.724504
42423549,-73.9747151,40.721087
42423564,-73.9645095,40.7589831
42423565,-73.9640002,40.7596426
42423579,-73.960551,40.7595738
42423674,-73.979076,40.766876
42423752,-73.9619964,40.7620775
42423774,-73.9738156,40.738339
42423832,-73.998505,40.7587817
42423836,-73.9969538,40.7593876
42423847,-73.9992001,40.7588687
42423885,-73.996857,40.7577291
42424025,-73.9437833,40.7828748
42424032,-73.9856862,40.780311
42424089,-73.9643559,40.7606212
42424117,-73.9318124,40.7944866
42424133,-73.9322765,40.793757
42424142,-73.9484005,40.769641
42424145,-73.9491341,40.7687032
42424218,-73.9950304,40.7693848
42424225,-73.9735934,40.7794865
42424235,-73.9344659,40.8171783
42424258,-74.0067668,40.7217241
42424334,-74.0079995,40.7211998
42424347,-74.0078146,40.7209099
42424354,-74.0075453,40.7208183
42424408,-74.0082309,40.7219848
42424439,-73.964694,40.7916758
42424521,-74.0142358,40.706675
42424531,-73.9352393,40.8295918
42424551,-73.9355839,40.8305218
42424576,-73.9363638,40.8304127
42424610,-74.008466,40.7206456
42424619,-74.0079297,40.7237578
42424630,-74.0070994,40.7244054
42424641,-73.9768477,40.7146195
42424672,-73.9592658,40.7593001
42424679,-73.9594899,40.8202619
42424698,-73.9570228,40.8232976
42424701,-73.9601312,40.8197265
42424703,-73.9610583,40.8186803
42424706,-73.9618103,40.8180007
42424757,-73.9355669,40.8069238
42424758,-73.9349387,40.80669
42424789,-73.9948115,40.7576654
42424851,-73.9698495,40.784623
42424864,-74.0059302,40.7244132
42424937,-73.967223,40.8105617
42425088,-73.9610256,40.8176607
42425100,-73.977917,40.715649
42425127,-73.9529821,40.7917218
42425188,-73.9841862,40.7856259
42425232,-73.9641772,40.7923773
42425242,-73.9596517,40.8203291
42425348,-73.9760092,40.7954937
42425417,-73.9348645,40.8282864
42425425,-73.9344443,40.8158343
42425484,-73.9343888,40.814759
42425570,-73.9628541,40.7942085
42425681,-73.929126,40.7993152
42425747,-73.9312143,40.8034625
42425758,-73.93598,40.8310238
42425780,-73.930985,40.8668739
42425945,-73.9847291,40.7856572
42425955,-74.0004961,40.7143936
42425959,-73.9318334,40.8692662
42426060,-74.0075216,40.7239092
42426089,-74.0074947,40.723454
42426135,-73.9323444,40.8039382
42426374,-73.952396,40.7982188
42426418,-73.9515065,40.7602431
42426665,-73.9376003,40.8337341
42426747,-74.0128371,40.7024415
42426799,-73.9303673,40.8025637
42426805,-73.9367868,40.7923959
42426810,-73.9354669,40.834924
